Time between frames (s): 0.1
Time (s): 0
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.958368178e-07, -8.662575505e-07, 0, 0, 0
0, 1, 0, -7.958368178e-07, -8.662575505e-07, -7.990536654e-07, -8.619202828e-07, 0, 0, 0
0, 2, 0, -7.990536654e-07, -8.619202828e-07, -8.006620892e-07, -8.597516489e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.108001488e-06, -1.118547006e-06, 0, 0, 0
1, 4, 0, -1.108001488e-06, -1.118547006e-06, -1.113598674e-06, -1.122319805e-06, 0, 0, 0
1, 5, 0, -1.113598674e-06, -1.122319805e-06, -1.116397266e-06, -1.124206205e-06, 0, 0, 0
2, 6, 0, -1.109131756e-06, -7.681110983e-07, -1.111033193e-06, -7.674145631e-07, 0, 0, 0
2, 7, 0, -1.111033193e-06, -7.674145631e-07, -1.114836067e-06, -7.660214926e-07, 0, 0, 0
2, 8, 0, -1.114836067e-06, -7.660214926e-07, -1.116737505e-06, -7.653249574e-07, 0, 0, 0
3, 9, 0, -6.696850733e-07, -6.949429176e-07, -6.6846166e-07, -6.896833301e-07, 0, 0, 0
3, 10, 0, -6.6846166e-07, -6.896833301e-07, -6.660148334e-07, -6.791641553e-07, 0, 0, 0
3, 11, 0, -6.660148334e-07, -6.791641553e-07, -6.647914202e-07, -6.739045678e-07, 0, 0, 0
4, 12, 0, -1.009150993e-06, -1.016358482e-06, -1.009550105e-06, -1.023096673e-06, 0, 0, 0
4, 13, 0, -1.009550105e-06, -1.023096673e-06, -1.010348329e-06, -1.036573053e-06, 0, 0, 0
4, 14, 0, -1.010348329e-06, -1.036573053e-06, -1.010747441e-06, -1.043311244e-06, 0, 0, 0
5, 15, 0, -4.8053473e-07, -1.709104174e-06, -4.842555058e-07, -1.710703651e-06, 0, 0, 0
5, 16, 0, -4.842555058e-07, -1.710703651e-06, -4.916970575e-07, -1.713902606e-06, 0, 0, 0
5, 17, 0, -4.916970575e-07, -1.713902606e-06, -4.954178333e-07, -1.715502083e-06, 0, 0, 0
6, 18, 0, -1.00905093e-06, -2.549216552e-07, -1.011919772e-06, -2.480732707e-07, 0, 0, 0
6, 19, 0, -1.011919772e-06, -2.480732707e-07, -1.017657456e-06, -2.343765016e-07, 0, 0, 0
6, 20, 0, -1.017657456e-06, -2.343765016e-07, -1.020526298e-06, -2.275281171e-07, 0, 0, 0
7, 21, 0, -1.620662067e-06, -1.096937144e-06, -1.62416421e-06, -1.101047496e-06, 0, 0, 0
7, 22, 0, -1.62416421e-06, -1.101047496e-06, -1.631168496e-06, -1.1092682e-06, 0, 0, 0
7, 23, 0, -1.631168496e-06, -1.1092682e-06, -1.634670639e-06, -1.113378552e-06, 0, 0, 0
8, 24, 0, -9.051657441e-07, -1.079638256e-06, -9.05720888e-07, -1.086365389e-06, 0, 0, 0
8, 25, 0, -9.05720888e-07, -1.086365389e-06, -9.068311759e-07, -1.099819655e-06, 0, 0, 0
8, 26, 0, -9.068311759e-07, -1.099819655e-06, -9.073863199e-07, -1.106546787e-06, 0, 0, 0
9, 27, 0, -9.634032112e-07, -7.106090649e-07, -9.662890967e-07, -7.123590048e-07, 0, 0, 0
9, 28, 0, -9.662890967e-07, -7.123590048e-07, -9.720608676e-07, -7.158588848e-07, 0, 0, 0
9, 29, 0, -9.720608676e-07, -7.158588848e-07, -9.749467531e-07, -7.176088248e-07, 0, 0, 0
#--------------------------------------------------
Time (s): 0.4
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.962389237e-07, -8.65715392e-07, 0, 0, 0
0, 1, 0, -7.962389237e-07, -8.65715392e-07, -8.002599832e-07, -8.602938073e-07, 0, 0, 0
0, 2, 0, -8.002599832e-07, -8.602938073e-07, -8.02270513e-07, -8.57583015e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.108561207e-06, -1.118924286e-06, 0, 0, 0
1, 4, 0, -1.108561207e-06, -1.118924286e-06, -1.115277829e-06, -1.123451645e-06, 0, 0, 0
1, 5, 0, -1.115277829e-06, -1.123451645e-06, -1.118636141e-06, -1.125715325e-06, 0, 0, 0
2, 6, 0, -1.109131756e-06, -7.681110983e-07, -1.112300818e-06, -7.669502063e-07, 0, 0, 0
2, 7, 0, -1.112300818e-06, -7.669502063e-07, -1.118638942e-06, -7.646284222e-07, 0, 0, 0
2, 8, 0, -1.118638942e-06, -7.646284222e-07, -1.121808004e-06, -7.634675301e-07, 0, 0, 0
3, 9, 0, -6.696850733e-07, -6.949429176e-07, -6.6800288e-07, -6.877109849e-07, 0, 0, 0
3, 10, 0, -6.6800288e-07, -6.877109849e-07, -6.646384935e-07, -6.732471194e-07, 0, 0, 0
3, 11, 0, -6.646384935e-07, -6.732471194e-07, -6.629563003e-07, -6.660151867e-07, 0, 0, 0
4, 12, 0, -1.009150993e-06, -1.016358482e-06, -1.009629928e-06, -1.024444311e-06, 0, 0, 0
4, 13, 0, -1.009629928e-06, -1.024444311e-06, -1.010587796e-06, -1.040615968e-06, 0, 0, 0
4, 14, 0, -1.010587796e-06, -1.040615968e-06, -1.011066731e-06, -1.048701796e-06, 0, 0, 0
5, 15, 0, -4.8053473e-07, -1.709104174e-06, -4.848756351e-07, -1.710970231e-06, 0, 0, 0
5, 16, 0, -4.848756351e-07, -1.710970231e-06, -4.935574454e-07, -1.714702344e-06, 0, 0, 0
5, 17, 0, -4.935574454e-07, -1.714702344e-06, -4.978983505e-07, -1.716568401e-06, 0, 0, 0
6, 18, 0, -1.00905093e-06, -2.549216552e-07, -1.011919772e-06, -2.480732707e-07, 0, 0, 0
6, 19, 0, -1.011919772e-06, -2.480732707e-07, -1.017657456e-06, -2.343765016e-07, 0, 0, 0
6, 20, 0, -1.017657456e-06, -2.343765016e-07, -1.020526298e-06, -2.275281171e-07, 0, 0, 0
7, 21, 0, -1.620662067e-06, -1.096937144e-06, -1.625039745e-06, -1.102075084e-06, 0, 0, 0
7, 22, 0, -1.625039745e-06, -1.102075084e-06, -1.633795103e-06, -1.112350964e-06, 0, 0, 0
7, 23, 0, -1.633795103e-06, -1.112350964e-06, -1.638172782e-06, -1.117488904e-06, 0, 0, 0
8, 24, 0, -9.051657441e-07, -1.079638256e-06, -9.057764024e-07, -1.087038102e-06, 0, 0, 0
8, 25, 0, -9.057764024e-07, -1.087038102e-06, -9.069977191e-07, -1.101837795e-06, 0, 0, 0
8, 26, 0, -9.069977191e-07, -1.101837795e-06, -9.076083775e-07, -1.109237641e-06, 0, 0, 0
9, 27, 0, -9.634032112e-07, -7.106090649e-07, -9.668662738e-07, -7.127089928e-07, 0, 0, 0
9, 28, 0, -9.668662738e-07, -7.127089928e-07, -9.737923989e-07, -7.169088488e-07, 0, 0, 0
9, 29, 0, -9.737923989e-07, -7.169088488e-07, -9.772554615e-07, -7.190087768e-07, 0, 0, 0
#--------------------------------------------------
Time (s): 0.5
# NucRegions: 
# xmin, ymin, xmax, ymax
!NC, -1e-06, -1e-06, 1e-06
nActin: 10 nSubunits: 30
# actinID, SubunitID, birthtime (s), xStart (m), yStart (m), xEnd (m), yEnd (m), pointed capped, barbed capped, branch
0, 0, 0, -7.94228394e-07, -8.684261844e-07, -7.970431356e-07, -8.646310751e-07, 0, 0, 0
0, 1, 0, -7.970431356e-07, -8.646310751e-07, -8.026726189e-07, -8.570408565e-07, 0, 0, 0
0, 2, 0, -8.026726189e-07, -8.570408565e-07, -8.054873606e-07, -8.532457473e-07, 0, 0, 0
1, 3, 0, -1.105202895e-06, -1.116660606e-06, -1.109120925e-06, -1.119301566e-06, 0, 0, 0
1, 4, 0, -1.109120925e-06, -1.119301566e-06, -1.116956985e-06, -1.124583485e-06, 0, 0, 0
1, 5, 0, -1.116956985e-06, -1.124583485e-06, -1.120875015e-06, -1.127224445e-06, 0, 0, 0
2, 6, 0, -1.109131756e-06, -7.681110983e-07, -1.11293463e-06, -7.667180279e-07, 0, 0, 0
2, 7, 0, -1.11293463e-06, -7.667180279e-07, -1.120540379e-06, -7.639318869e-07, 0, 0, 0
2, 8, 0, -1.120540379e-06, -7.639318869e-07, -1.124343254e-06, -7.625388165e-07, 0, 0, 0
3, 9, 0, -6.702967799e-07, -6.975727113e-07, -6.681558067e-07, -6.883684333e-07, 0, 0, 0
3, 10, 0, -6.681558067e-07, -6.883684333e-07, -6.638738602e-07, -6.699598773e-07, 0, 0, 0
3, 11, 0, -6.638738602e-07, -6.699598773e-07, -6.61732887e-07, -6.607555993e-07, 0, 0, 0
4, 12, 0, -1.009150993e-06, -1.016358482e-06, -1.009669839e-06, -1.02511813e-06, 0, 0, 0
4, 13, 0, -1.009669839e-06, -1.02511813e-06, -1.01070753e-06, -1.042637425e-06, 0, 0, 0
4, 14, 0, -1.01070753e-06, -1.042637425e-06, -1.011226376e-06, -1.051397072e-06, 0, 0, 0
5, 15, 0, -4.8053473e-07, -1.709104174e-06, -4.854957644e-07, -1.71123681e-06, 0, 0, 0
5, 16, 0, -4.854957644e-07, -1.71123681e-06, -4.954178333e-07, -1.715502083e-06, 0, 0, 0
5, 17, 0, -4.954178333e-07, -1.715502083e-06, -5.003788677e-07, -1.717634719e-06, 0, 0, 0
6, 18, 0, -1.00905093e-06, -2.549216552e-07, -1.011919772e-06, -2.480732707e-07, 0, 0, 0
6, 19, 0, -1.011919772e-06, -2.480732707e-07, -1.017657456e-06, -2.343765016e-07, 0, 0, 0
6, 20, 0, -1.017657456e-06, -2.343765016e-07, -1.020526298e-06, -2.275281171e-07, 0, 0, 0
7, 21, 0, -1.620662067e-06, -1.096937144e-06, -1.625477513e-06, -1.102588878e-06, 0, 0, 0
7, 22, 0, -1.625477513e-06, -1.102588878e-06, -1.635108407e-06, -1.113892346e-06, 0, 0, 0
7, 23, 0, -1.635108407e-06, -1.113892346e-06, -1.639923853e-06, -1.11954408e-06, 0, 0, 0
8, 24, 0, -9.051657441e-07, -1.079638256e-06, -9.058874312e-07, -1.088383529e-06, 0, 0, 0
8, 25, 0, -9.058874312e-07, -1.088383529e-06, -9.073308055e-07, -1.105874074e-06, 0, 0, 0
8, 26, 0, -9.073308055e-07, -1.105874074e-06, -9.080524926e-07, -1.114619347e-06, 0, 0, 0
9, 27, 0, -9.634032112e-07, -7.106090649e-07, -9.68597805e-07, -7.137589568e-07, 0, 0, 0
9, 28, 0, -9.68597805e-07, -7.137589568e-07, -9.789869928e-07, -7.200587408e-07, 0, 0, 0
